LOG_NR_2018,Log_NR_2019,NAME,NORD_CHTOPO,OST_CHTOPO,ELEV_CHTOPO
80,60,Roschistrasse,46.93508,7.43887,532.6
82,-,"Kursaal, Schänzlihalde 11",46.95292,7.44847,549.9
83,83,Stadtlabor,46.96312,7.46255,554.5
85,-,PH Von Roll Dach (Referenz),46.95353,7.42319,553.9
86,102,"Vorderes LG-Quartier, Falkenweg 5",46.9517,7.43714,561.6
87,87,Engehalde Wehr,46.96547,7.44504,494.5
98,98,Zollikofen Referenz 2m,46.9908,7.46403,552.8
99,99,Zollikofen Referenz 3m,46.9908,7.46403,552.8
101,101,"Steinhölzliwald, (Zugang: Goumoenstr. 58)*****",46.93514,7.42805,573.7
-,3,Rathausgasse II: ca. Höhe Taube (Bar),46.94851,7.44925,536.6
-,5,Sportplatz/Familiengarten vor Egelsee,46.94564,7.46666,552.7
-,11,Viererfeld Veloweg,46.96249,7.43982,562.8
-,12,Egelsee Süd I: Gantrischstrasse 52,46.94701,7.47194,564
-,15,Waisenhausplatz I (Ostseite): Vor Rest. Il Grissino,46.94973,7.44418,539.1
-,28,Pärkli bei Eigerplatz,46.94192,7.43097,524.6
-,29,"Paul Klee, Senke Familienspaziergang",46.94861,7.47124,558.5
-,35,Egelsee Süd II: Bürglenstrasse 28,46.94518,7.46887,566.3
-,40,Rathausgasse I: St. Peter & Paul Kirche,46.94858,7.45193,533.1
-,47,Waisenhausplatz III (Mitte): Neben Brunnen,46.94984,7.44418,539
-,50,Kreuzung Familienspaziergang / Laubeggstrasse,46.94644,7.46833,558.2
-,54,Waisenhausplatz IV (Pocketpark): vor Starbucks,46.94879,7.44376,541.5
-,74,Waisenhausplatz II (Westseite): vor Rest. Luce,46.94917,7.44437,539.1
-,77,Viererfeld Wald,46.96406,7.43582,576.1
-,85,Ensingerstrasse 28,46.94244,7.46132,554.1
