Datum_Zeit (UTC +2h),Radiation (W/m2),Temperature (°C),Precipitation (mm),Wind_mean (km/h),Wind direction (°)
19.07.2019 06:00,243,17.1,0,4.3,216
19.07.2019 06:10,249,18,0,4.3,175
19.07.2019 06:20,243,18.2,0,6.5,165
19.07.2019 06:30,272,18.9,0,4.7,177
19.07.2019 06:40,337,19,0,5,179
19.07.2019 06:50,353,19.2,0,3.6,207
19.07.2019 07:00,292,19.1,0,2.9,219
19.07.2019 07:10,387,19.6,0,4.3,224
19.07.2019 07:20,421,19.9,0,4,213
19.07.2019 07:30,497,20.3,0,6.1,231
19.07.2019 07:40,523,20.1,0,5.4,239
19.07.2019 07:50,564,20.7,0,5.8,244
19.07.2019 08:00,596,20.9,0,6.5,240
19.07.2019 08:10,607,21.5,0,5.4,226
19.07.2019 08:20,616,21.8,0,5,251
19.07.2019 08:30,629,22,0,2.5,290
19.07.2019 08:40,649,22.3,0,6.5,226
19.07.2019 08:50,659,22.6,0,7.6,274
19.07.2019 09:00,671,22.2,0,5.8,265
19.07.2019 09:10,682,23.7,0,9,305
19.07.2019 09:20,703,22.8,0,7.9,287
19.07.2019 09:30,721,23.1,0,6.8,240
19.07.2019 09:40,750,23.4,0,7.9,259
19.07.2019 09:50,754,23.2,0,7.2,242
19.07.2019 10:00,783,23.2,0,5.4,318
19.07.2019 10:10,816,23.9,0,6.5,262
19.07.2019 10:20,810,23.8,0,4.7,238
19.07.2019 10:30,851,23.2,0,8.3,234
19.07.2019 10:40,874,24.1,0,8.6,239
19.07.2019 10:50,906,24.3,0,7.6,256
19.07.2019 11:00,923,24.9,0,5,245
19.07.2019 11:10,929,24.5,0,8.6,275
19.07.2019 11:20,940,25,0,5,256
19.07.2019 11:30,944,24.6,0,6.8,292
19.07.2019 11:40,924,25.2,0,9.4,221
19.07.2019 11:50,935,25.2,0,6.5,240
19.07.2019 12:00,940,25.6,0,10.4,295
19.07.2019 12:10,937,26,0,10.8,267
19.07.2019 12:20,921,25.7,0,9.4,282
19.07.2019 12:30,934,25.5,0,9.4,254
19.07.2019 12:40,938,25.9,0,10.1,257
19.07.2019 12:50,661,26.1,0,9,306
19.07.2019 13:00,795,25.4,0,7.9,243
19.07.2019 13:10,802,26.1,0,8.3,265
19.07.2019 13:20,890,26.8,0,9,290
19.07.2019 13:30,855,26.9,0,7.9,275
19.07.2019 13:40,834,26.3,0,11.2,286
19.07.2019 13:50,806,27.3,0,7.2,292
19.07.2019 14:00,782,26.8,0,7.9,274
19.07.2019 14:10,758,26.5,0,7.6,281
19.07.2019 14:20,733,27.3,0,11.2,304
19.07.2019 14:30,708,27.6,0,8.3,279
19.07.2019 14:40,687,27.1,0,11.5,281
19.07.2019 14:50,667,27.8,0,10.1,301
19.07.2019 15:00,648,27.4,0,11.2,269
19.07.2019 15:10,629,27.1,0,6.8,247
19.07.2019 15:20,611,27.6,0,12.2,287
19.07.2019 15:30,592,27.4,0,11.2,292
